"","store_name","borough","year","store_address","latitude","longitude","type"
"4629","1278 MORRISON DELI GROCERY CORP","Bronx",2014,"1278 MORRISON AVE",40.83151818,-73.87495389,"retail store"
"4630","INTERVALE DELI FOOD CORP","Bronx",2014,"1006 INTERVALE AVE",40.82338811,-73.89666738,"retail store"
"4631","SCHWARTZ FRUITS & VEGGIES CORP","Manhattan",2014,"755 9TH AVENUE",40.76409046,-73.98874334,"retail store"
"4632","JAZLYN GROCERY CORP","Queens",2014,"1711 BLEECKER ST STORE #2",40.70403681,-73.91254086,"retail store"
"4633","N&N MEAT MARKET LLC","Bronx",2014,"239-245 E TREMONT AVE",40.849046,-73.90414387,"retail store"
"4634","O DELI & GRILL CORP","Brooklyn",2014,"105 AVENUE O",40.61067351,-73.98105856,"retail store"
"4635","S&M BRONX INC","Bronx",2014,"3276 JEROME AVE",40.87827822,-73.88598967,"retail store"
"4636","164 ST DELI GROCERY INC","Manhattan",2014,"2097 AMSTERDAM AVE",40.83705132,-73.93874688,"retail store"
"4637","APPLE GOURMET DELI INC","Queens",2014,"30-30 NORTHERN BLVD",40.75136962,-73.93383056,"retail store"
"4638","SAN DIEGO GROCERY & DELI 1 CORP","Brooklyn",2014,"4023 GLENWOOD RD",40.63478515,-73.93744886,"retail store"
"4639","134 FRESH MARKET INC","Queens",2014,"134-16 LIBERTY AVE",40.69142812,-73.81203128,"retail store"
"4640","GOLD STAR DELI & FOOD INC","Brooklyn",2014,"261 BUFFALO AVE",40.66999224,-73.92529736,"retail store"
"4641","VISIONARY FOOD CORP","Bronx",2014,"1077 WHITE PLAINS RD",40.82822853,-73.86079325,"retail store"
"4642","HAMIDO SEAFOOD CORP","Queens",2014,"3308 DITMARS BLVD",40.77508945,-73.9094533,"retail store"
"4643","DELI FOR ME CORP","Queens",2014,"187-44 HILLSIDE AVE",40.71492855,-73.77373663,"retail store"
"4644","AARONS FRUIT MARKET INC","Queens",2014,"134-10 GUY R BREWER BLVD",40.67311534,-73.77570009,"retail store"
"4645","LENOX FIVE STAR DELI GROCERY INC","Manhattan",2014,"685 LENOX AVENUE",40.82007194,-73.9368374,"retail store"
"4646","LA ROMANA DELI-GROCERY INC","Bronx",2014,"212 WEST KINGSBRIDGE ROAD",40.87183501,-73.90466195,"retail store"
"4647","K&S DELI GRILL INC","Brooklyn",2014,"9619 CHURCH AVE",40.65616164,-73.91500924,"retail store"
"4648","SAGAL FISH MARKET INC","Bronx",2014,"3438 JEROME AVE.",40.88136993,-73.8825266,"retail store"
"4649","VSM NY HOLDINGS LLC","Manhattan",2014,"766 6TH AVE",40.74432235,-73.99167788,"retail store"
"4650","WORLD OF HEALTH CORP THE","Manhattan",2014,"714 W 181ST STREET",40.85029377,-73.93654789,"retail store"
